exercise_name,muscle_slug,role,activation_pct
One Arm Dumbbell Row,rhomboids,secondary,50
One Arm Dumbbell Row,trapezius,secondary,45
One Arm Dumbbell Row,biceps_brachii,secondary,45
One Arm Dumbbell Row,forearms,secondary,50
Overhead Press,anterior_deltoid,primary,85
Overhead Press,lateral_deltoid,secondary,45
Overhead Press,triceps_brachii,secondary,50
Overhead Press,trapezius,secondary,40
Overhead Triceps Extension,triceps_brachii,primary,90
Pendlay Row,rhomboids,primary,90
Pendlay Row,latissimus_dorsi,secondary,55
Pendlay Row,trapezius,secondary,50
Pendlay Row,biceps_brachii,secondary,58
Pendlay Row,forearms,secondary,58
Plank,transverse_abdominis,primary,90
Plank,rectus_abdominis,primary,85
Plank,obliques,secondary,50
Pull Up,latissimus_dorsi,primary,90
Pull Up,biceps_brachii,secondary,50
Pull Up,forearms,secondary,55
Rear Delt Raise,posterior_deltoid,primary,85
Rear Delt Raise,rhomboids,secondary,45
Rear Delt Raise,trapezius,secondary,40
Reverse Curl,forearms,primary,90
Reverse Curl,brachialis,secondary,55
Reverse Curl,biceps_brachii,secondary,45
Romanian Deadlift,hamstrings,primary,90
Romanian Deadlift,gluteus_maximus,primary,85
Romanian Deadlift,erector_spinae,secondary,55
Seated Calf Raise,calves,primary,90
Side Bend,obliques,primary,85
Side Bend,rectus_abdominis,secondary,45
Side Lateral Raise,lateral_deltoid,primary,85
Side Lateral Raise,trapezius,secondary,45
Skull Crusher,triceps_brachii,primary,92
Standing Calf Raise,calves,primary,90
Upright Row,lateral_deltoid,primary,85
Upright Row,trapezius,secondary,50
Upright Row,biceps_brachii,secondary,40
Wrist Curl,forearms,primary,85
Abdominal Crunch Machine,rectus_abdominis,primary,85
Abdominal Crunch Machine,hip_flexors,secondary,50
Back Extension Machine,erector_spinae,primary,85
Back Extension Machine,gluteus_maximus,secondary,55
Back Extension Machine,hamstrings,secondary,50
Cable Crossover,pectoralis_major,primary,92
Cable Crossover,anterior_deltoid,secondary,55
Cable Crunch,rectus_abdominis,primary,85
Cable Crunch,obliques,secondary,45
Cable Triceps Pushdown,triceps_brachii,primary,85
Calf Raise,calves,primary,90
Face Pull,posterior_deltoid,primary,90
Face Pull,trapezius,secondary,50
Face Pull,rhomboids,secondary,50
Face Pull,rotator_cuff,secondary,45
Hip Adduction Abduction Machine,gluteus_medius,primary,85
Hip Adduction Abduction Machine,adductors,primary,85
Hip Thrust Machine,gluteus_maximus,primary,90
Hip Thrust Machine,hamstrings,secondary,45
Hip Thrust Machine,gluteus_medius,secondary,40
Lat Pulldown,latissimus_dorsi,primary,90
Lat Pulldown,biceps_brachii,secondary,55
Lat Pulldown,forearms,secondary,45
Lat Pulldown,rhomboids,secondary,50
Leg Curl,hamstrings,primary,90
Leg Extension,quadriceps,primary,90
Leg Press,quadriceps,primary,90
Leg Press,gluteus_maximus,secondary,50
Leg Press,hamstrings,secondary,40
Leg Press,calves,secondary,40
Machine Biceps Curl,biceps_brachii,primary,90
Machine Biceps Curl,forearms,secondary,45
Machine Chest Press,pectoralis_major,primary,92
Machine Chest Press,anterior_deltoid,secondary,55
Machine Chest Press,triceps_brachii,secondary,50
Machine Decline Chest Press,pectoralis_major,primary,85
Machine Decline Chest Press,triceps_brachii,secondary,45
Machine Decline Chest Press,anterior_deltoid,secondary,40
Machine Hack Squat,quadriceps,primary,90
Machine Hack Squat,gluteus_maximus,secondary,55
Machine Hack Squat,hamstrings,secondary,45
Machine Hack Squat,calves,secondary,35
Machine High Row,latissimus_dorsi,primary,90
Machine High Row,rhomboids,secondary,50
Machine High Row,trapezius,secondary,45
Machine High Row,biceps_brachii,secondary,48
Machine Incline Chest Press,pectoralis_major,primary,90
Machine Incline Chest Press,anterior_deltoid,secondary,55
Machine Incline Chest Press,triceps_brachii,secondary,45
Machine Lat Pulldown,latissimus_dorsi,primary,90
Machine Lat Pulldown,biceps_brachii,secondary,55
Machine Lat Pulldown,forearms,secondary,45
Machine Lat Pulldown,rhomboids,secondary,50
Machine Lateral Raise,lateral_deltoid,primary,88
Machine Lateral Raise,trapezius,secondary,45
Machine Leg Curl,hamstrings,primary,90
Machine Leg Extension,quadriceps,primary,90
Machine Leg Press,quadriceps,primary,90
Machine Leg Press,gluteus_maximus,secondary,50
Machine Leg Press,hamstrings,secondary,35
Machine Leg Press,calves,secondary,40
Machine Row,rhomboids,primary,90
Machine Row,latissimus_dorsi,secondary,55
Machine Row,trapezius,secondary,45
Machine Row,biceps_brachii,secondary,40
Machine Shoulder Press,anterior_deltoid,primary,90
Machine Shoulder Press,lateral_deltoid,secondary,55
Machine Shoulder Press,triceps_brachii,secondary,58
Machine Shoulder Press,trapezius,secondary,48
Machine Triceps Extension,triceps_brachii,primary,88
Oblique Machine,obliques,primary,85
Oblique Machine,rectus_abdominis,secondary,45
Pec Deck,pectoralis_major,primary,85
Pec Deck,pectoralis_minor,secondary,50
Preacher Curl Machine,biceps_brachii,primary,92
Preacher Curl Machine,forearms,secondary,48
Pullover Machine,latissimus_dorsi,primary,90
Pullover Machine,pectoralis_major,secondary,45
Pullover Machine,serratus_anterior,secondary,40
Pullover Machine,triceps_brachii,secondary,35
Reverse Pec Deck,posterior_deltoid,primary,85
Reverse Pec Deck,rhomboids,secondary,45
Reverse Pec Deck,trapezius,secondary,50
Seated Cable Row,latissimus_dorsi,primary,90
Seated Cable Row,rhomboids,secondary,50
Seated Cable Row,trapezius,secondary,45
Seated Cable Row,biceps_brachii,secondary,50
Seated Cable Row,forearms,secondary,40
Tricep Pushdown,triceps_brachii,primary,80
3/4 Sit-up,rectus_abdominis,primary,85
3/4 Sit-up,hip_flexors,secondary,45
3/4 Sit-up,erector_spinae,secondary,35
45° Side Bend,rectus_abdominis,primary,75
45° Side Bend,obliques,secondary,55
Air Bike,rectus_abdominis,primary,80
Air Bike,hip_flexors,secondary,50
All Fours Squad Stretch,quadriceps,primary,70
All Fours Squad Stretch,hamstrings,secondary,35
All Fours Squad Stretch,gluteus_maximus,secondary,40
Alternate Heel Touchers,rectus_abdominis,primary,75
Alternate Heel Touchers,obliques,secondary,45
Alternate Lateral Pulldown,latissimus_dorsi,primary,83
Alternate Lateral Pulldown,biceps_brachii,secondary,55
Alternate Lateral Pulldown,rhomboids,secondary,45
Ankle Circles,calves,primary,65
Archer Pull Up,latissimus_dorsi,primary,93
Archer Pull Up,biceps_brachii,secondary,55
Archer Pull Up,forearms,secondary,58
Archer Push Up,pectoralis_major,primary,85
Archer Push Up,triceps_brachii,secondary,55
Archer Push Up,anterior_deltoid,secondary,48
Archer Push Up,rectus_abdominis,secondary,45
Arm Slingers Hanging Bent Knee Legs,rectus_abdominis,primary,90
Arm Slingers Hanging Bent Knee Legs,posterior_deltoid,secondary,45
Arm Slingers Hanging Bent Knee Legs,latissimus_dorsi,secondary,55
Arm Slingers Hanging Straight Legs,rectus_abdominis,primary,90
Arm Slingers Hanging Straight Legs,lateral_deltoid,secondary,45
Arm Slingers Hanging Straight Legs,latissimus_dorsi,secondary,55
Arms Apart Circular Toe Touch (male),gluteus_maximus,primary,75
Arms Apart Circular Toe Touch (male),hamstrings,secondary,50
Arms Apart Circular Toe Touch (male),quadriceps,secondary,40
Arms Apart Circular Toe Touch (male),calves,secondary,35
Arms Overhead Full Sit-up (male),rectus_abdominis,primary,90
Arms Overhead Full Sit-up (male),hip_flexors,secondary,55
Arms Overhead Full Sit-up (male),erector_spinae,secondary,35
Assisted Chest Dip (kneeling),pectoralis_major,primary,90
Assisted Chest Dip (kneeling),triceps_brachii,secondary,50
Assisted Chest Dip (kneeling),anterior_deltoid,secondary,45
Assisted Hanging Knee Raise,rectus_abdominis,primary,85
Assisted Hanging Knee Raise,hip_flexors,secondary,45
Assisted Hanging Knee Raise With Throw Down,rectus_abdominis,primary,80
Assisted Hanging Knee Raise With Throw Down,hip_flexors,secondary,50
Assisted Hanging Knee Raise With Throw Down,erector_spinae,secondary,45
Assisted Lying Calves Stretch,calves,primary,90
Assisted Lying Calves Stretch,hamstrings,secondary,40
Assisted Lying Glutes Stretch,gluteus_maximus,primary,70
Assisted Lying Glutes Stretch,hamstrings,secondary,35
Assisted Lying Gluteus And Piriformis Stretch,gluteus_maximus,primary,68
Assisted Lying Gluteus And Piriformis Stretch,hamstrings,secondary,33
Assisted Lying Leg Raise With Lateral Throw Down,rectus_abdominis,primary,90
Assisted Lying Leg Raise With Lateral Throw Down,hip_flexors,secondary,52
Assisted Lying Leg Raise With Lateral Throw Down,obliques,secondary,58
Assisted Lying Leg Raise With Throw Down,rectus_abdominis,primary,85
Assisted Lying Leg Raise With Throw Down,hip_flexors,secondary,55
Assisted Lying Leg Raise With Throw Down,quadriceps,secondary,40
Assisted Motion Russian Twist,rectus_abdominis,primary,75
Assisted Motion Russian Twist,obliques,secondary,55
Assisted Motion Russian Twist,erector_spinae,secondary,40
Assisted Parallel Close Grip Pull-up,latissimus_dorsi,primary,85
Assisted Parallel Close Grip Pull-up,biceps_brachii,secondary,55
Assisted Parallel Close Grip Pull-up,forearms,secondary,50
Assisted Prone Hamstring,hamstrings,primary,88
Assisted Prone Hamstring,gluteus_maximus,secondary,42
Assisted Prone Hamstring,erector_spinae,secondary,48
Assisted Prone Lying Quads Stretch,quadriceps,primary,65
Assisted Prone Lying Quads Stretch,hamstrings,secondary,35
Assisted Prone Lying Quads Stretch,gluteus_maximus,secondary,30
Assisted Prone Rectus Femoris Stretch,rectus_abdominis,primary,80
Assisted Prone Rectus Femoris Stretch,quadriceps,secondary,45
Assisted Pull-up,latissimus_dorsi,primary,75
Assisted Pull-up,biceps_brachii,secondary,45
Assisted Pull-up,forearms,secondary,40
Assisted Seated Pectoralis Major Stretch With Stability Ball,pectoralis_major,primary,75
Assisted Seated Pectoralis Major Stretch With Stability Ball,lateral_deltoid,secondary,40
Assisted Seated Pectoralis Major Stretch With Stability Ball,triceps_brachii,secondary,35
Assisted Side Lying Adductor Stretch,adductors,primary,75
Assisted Side Lying Adductor Stretch,hamstrings,secondary,40
Assisted Side Lying Adductor Stretch,gluteus_maximus,secondary,45
Assisted Sit-up,rectus_abdominis,primary,85
Assisted Sit-up,hip_flexors,secondary,55
Assisted Standing Chin-up,latissimus_dorsi,primary,85
Assisted Standing Chin-up,biceps_brachii,secondary,45
Assisted Standing Chin-up,forearms,secondary,50
Assisted Standing Pull-up,latissimus_dorsi,primary,80
Assisted Standing Pull-up,biceps_brachii,secondary,50
Assisted Standing Pull-up,forearms,secondary,55
Assisted Standing Triceps Extension (with Towel),triceps_brachii,primary,85
Assisted Standing Triceps Extension (with Towel),lateral_deltoid,secondary,45
Assisted Triceps Dip (kneeling),triceps_brachii,primary,90
Assisted Triceps Dip (kneeling),pectoralis_major,secondary,45
Assisted Triceps Dip (kneeling),anterior_deltoid,secondary,45
Assisted Wide-grip Chest Dip (kneeling),pectoralis_major,primary,80
Assisted Wide-grip Chest Dip (kneeling),triceps_brachii,secondary,55
Assisted Wide-grip Chest Dip (kneeling),anterior_deltoid,secondary,48
Back Extension On Exercise Ball,erector_spinae,primary,85
Back Extension On Exercise Ball,gluteus_maximus,secondary,50
Back Extension On Exercise Ball,hamstrings,secondary,40
Back Lever,trapezius,primary,80
Back Lever,biceps_brachii,secondary,45
Back Lever,forearms,secondary,50
Back Lever,rectus_abdominis,secondary,40
Back Pec Stretch,latissimus_dorsi,primary,75
Back Pec Stretch,lateral_deltoid,secondary,40
Back Pec Stretch,pectoralis_major,secondary,45
Backward Jump,quadriceps,primary,90
Backward Jump,hamstrings,secondary,50
Backward Jump,gluteus_maximus,secondary,55
Backward Jump,calves,secondary,55
Balance Board,quadriceps,primary,75
Balance Board,calves,secondary,45
Balance Board,hamstrings,secondary,40
Balance Board,gluteus_maximus,secondary,50
Band Alternating Biceps Curl,biceps_brachii,primary,82
Band Alternating Biceps Curl,forearms,secondary,47
Band Alternating V-up,rectus_abdominis,primary,90
Band Alternating V-up,hip_flexors,secondary,55
Band Assisted Pull-up,latissimus_dorsi,primary,75
Band Assisted Pull-up,biceps_brachii,secondary,50
Band Assisted Pull-up,forearms,secondary,55
Band Assisted Wheel Rollerout,rectus_abdominis,primary,85
Band Assisted Wheel Rollerout,erector_spinae,secondary,45
Band Bench Press,pectoralis_major,primary,90
Band Bench Press,triceps_brachii,secondary,58
Band Bench Press,anterior_deltoid,secondary,48
Band Bent-over Hip Extension,gluteus_maximus,primary,85
Band Bent-over Hip Extension,hamstrings,secondary,50
Band Bent-over Hip Extension,erector_spinae,secondary,45
Band Bicycle Crunch,rectus_abdominis,primary,90
Band Bicycle Crunch,hip_flexors,secondary,55
Band Bicycle Crunch,obliques,secondary,58
Band Close-grip Pulldown,latissimus_dorsi,primary,88
Band Close-grip Pulldown,biceps_brachii,secondary,55
Band Close-grip Pulldown,forearms,secondary,42
Band Close-grip Push-up,triceps_brachii,primary,88
Band Close-grip Push-up,pectoralis_major,secondary,45
Band Close-grip Push-up,anterior_deltoid,secondary,48
Band Concentration Curl,biceps_brachii,primary,90
Band Concentration Curl,forearms,secondary,45
Band Fixed Back Close Grip Pulldown,latissimus_dorsi,primary,85
Band Fixed Back Close Grip Pulldown,biceps_brachii,secondary,50
Band Fixed Back Close Grip Pulldown,forearms,secondary,40
Band Fixed Back Underhand Pulldown,latissimus_dorsi,primary,88
Band Fixed Back Underhand Pulldown,biceps_brachii,secondary,55
Band Fixed Back Underhand Pulldown,rhomboids,secondary,48
Band Fixed Back Underhand Pulldown,posterior_deltoid,secondary,45
Band Front Lateral Raise,anterior_deltoid,primary,90
Band Front Lateral Raise,trapezius,secondary,45
Band Front Raise,anterior_deltoid,primary,85
Band Front Raise,triceps_brachii,secondary,40
Band Front Raise,trapezius,secondary,50
Band Hip Lift,gluteus_maximus,primary,90
Band Hip Lift,hamstrings,secondary,45
Band Hip Lift,quadriceps,secondary,35
Band Horizontal Pallof Press,rectus_abdominis,primary,80
Band Horizontal Pallof Press,obliques,secondary,55
Band Horizontal Pallof Press,gluteus_maximus,secondary,45
Band Jack Knife Sit-up,rectus_abdominis,primary,85
Band Jack Knife Sit-up,hip_flexors,secondary,55
Band Kneeling One Arm Pulldown,latissimus_dorsi,primary,80
Band Kneeling One Arm Pulldown,biceps_brachii,secondary,45
Band Kneeling One Arm Pulldown,rhomboids,secondary,50
Band Kneeling Twisting Crunch,rectus_abdominis,primary,85
Band Kneeling Twisting Crunch,obliques,secondary,55
Band Lying Hip Internal Rotation,gluteus_maximus,primary,70
Band Lying Hip Internal Rotation,hamstrings,secondary,45
Band Lying Hip Internal Rotation,quadriceps,secondary,35
Band Lying Straight Leg Raise,rectus_abdominis,primary,85
Band Lying Straight Leg Raise,hip_flexors,secondary,55
Band One Arm Overhead Biceps Curl,biceps_brachii,primary,90
Band One Arm Overhead Biceps Curl,forearms,secondary,45
Band One Arm Overhead Biceps Curl,anterior_deltoid,secondary,40
Band One Arm Single Leg Split Squat,quadriceps,primary,88
Band One Arm Single Leg Split Squat,gluteus_maximus,secondary,52
Band One Arm Single Leg Split Squat,hamstrings,secondary,43
Band One Arm Standing Low Row,trapezius,primary,85
Band One Arm Standing Low Row,biceps_brachii,secondary,50
Band One Arm Standing Low Row,lateral_deltoid,secondary,35
Band One Arm Twisting Chest Press,pectoralis_major,primary,85
Band One Arm Twisting Chest Press,anterior_deltoid,secondary,50
Band One Arm Twisting Chest Press,triceps_brachii,secondary,55
Band One Arm Twisting Seated Row,trapezius,primary,85
Band One Arm Twisting Seated Row,biceps_brachii,secondary,50
Band One Arm Twisting Seated Row,lateral_deltoid,secondary,35
Band Pull Through,gluteus_maximus,primary,85
Band Pull Through,hamstrings,secondary,45
Band Pull Through,erector_spinae,secondary,40
Band Push Sit-up,rectus_abdominis,primary,85
Band Push Sit-up,lateral_deltoid,secondary,40
Band Push Sit-up,pectoralis_major,secondary,45
Band Reverse Fly,posterior_deltoid,primary,80
Band Reverse Fly,trapezius,secondary,45
Band Reverse Wrist Curl,forearms,primary,85
Band Seated Hip Internal Rotation,gluteus_maximus,primary,68
Band Seated Hip Internal Rotation,hamstrings,secondary,45
Band Seated Hip Internal Rotation,quadriceps,secondary,32
Band Seated Twist,rectus_abdominis,primary,80
Band Seated Twist,obliques,secondary,55
Band Shoulder Press,anterior_deltoid,primary,88
Band Shoulder Press,triceps_brachii,secondary,55
Band Shoulder Press,trapezius,secondary,45
Band Shrug,trapezius,primary,82
Band Shrug,lateral_deltoid,secondary,38
Band Side Triceps Extension,triceps_brachii,primary,80
Band Side Triceps Extension,lateral_deltoid,secondary,40
Band Single Leg Calf Raise,calves,primary,88
Band Single Leg Reverse Calf Raise,calves,primary,85
Band Single Leg Reverse Calf Raise,hamstrings,secondary,45
Band Single Leg Reverse Calf Raise,gluteus_maximus,secondary,50
Band Single Leg Split Squat,quadriceps,primary,85
Band Single Leg Split Squat,gluteus_maximus,secondary,50
Band Single Leg Split Squat,hamstrings,secondary,40
Band Squat,gluteus_maximus,primary,85
Band Squat,quadriceps,secondary,55
Band Squat,hamstrings,secondary,45
Band Squat,calves,secondary,35
Band Squat Row,gluteus_maximus,primary,90
Band Squat Row,hamstrings,secondary,45
Band Squat Row,quadriceps,secondary,55
Band Squat Row,latissimus_dorsi,secondary,50
Band Standing Crunch,rectus_abdominis,primary,88
Band Standing Crunch,obliques,secondary,52
Band Standing Rear Delt Row,posterior_deltoid,primary,90
Band Standing Rear Delt Row,trapezius,secondary,45
Band Standing Rear Delt Row,rhomboids,secondary,48
Band Standing Rear Delt Row,biceps_brachii,secondary,40
Band Standing Twisting Crunch,rectus_abdominis,primary,85
Band Standing Twisting Crunch,obliques,secondary,50
Band Step-up,gluteus_maximus,primary,88
Band Step-up,quadriceps,secondary,55
Band Step-up,hamstrings,secondary,40
Band Step-up,calves,secondary,38
Band Stiff Leg Deadlift,gluteus_maximus,primary,85
Band Stiff Leg Deadlift,hamstrings,secondary,55
Band Stiff Leg Deadlift,erector_spinae,secondary,50
Band Straight Back Stiff Leg Deadlift,gluteus_maximus,primary,85
Band Straight Back Stiff Leg Deadlift,hamstrings,secondary,55
Band Straight Back Stiff Leg Deadlift,erector_spinae,secondary,45
Band Straight Leg Deadlift,erector_spinae,primary,80
Band Straight Leg Deadlift,hamstrings,secondary,55
Band Straight Leg Deadlift,gluteus_maximus,secondary,50
Band Twisting Overhead Press,anterior_deltoid,primary,90
Band Twisting Overhead Press,triceps_brachii,secondary,55
Band Twisting Overhead Press,trapezius,secondary,50
Band Two Legs Calf Raise - (band Under Both Legs) V. 2,calves,primary,85
Band Underhand Pulldown,latissimus_dorsi,primary,85
Band Underhand Pulldown,biceps_brachii,secondary,55
Band Underhand Pulldown,forearms,secondary,40
Band V-up,rectus_abdominis,primary,85
Band V-up,hip_flexors,secondary,45
Band Vertical Pallof Press,rectus_abdominis,primary,80
Band Vertical Pallof Press,obliques,secondary,50
Band Vertical Pallof Press,gluteus_maximus,secondary,40
Band Wrist Curl,forearms,primary,85
Band Wrist Curl,biceps_brachii,secondary,40
Band Wrist Curl,triceps_brachii,secondary,35
Band Y-raise,lateral_deltoid,primary,85
Band Y-raise,trapezius,secondary,55
Band Y-raise,rhomboids,secondary,45
Barbell Alternate Biceps Curl,biceps_brachii,primary,92
Barbell Alternate Biceps Curl,forearms,secondary,48
Barbell Bench Front Squat,quadriceps,primary,90
Barbell Bench Front Squat,hamstrings,secondary,45
Barbell Bench Front Squat,gluteus_maximus,secondary,55
Barbell Bench Front Squat,calves,secondary,35
Barbell Bench Press,pectoralis_major,primary,85
Barbell Bench Press,triceps_brachii,secondary,50
Barbell Bench Press,anterior_deltoid,secondary,45
Barbell Bench Squat,quadriceps,primary,85
Barbell Bench Squat,gluteus_maximus,secondary,55
Barbell Bench Squat,hamstrings,secondary,45
Barbell Bench Squat,calves,secondary,35
Barbell Bent Arm Pullover,latissimus_dorsi,primary,88
Barbell Bent Arm Pullover,triceps_brachii,secondary,42
Barbell Bent Arm Pullover,pectoralis_major,secondary,45
Barbell Bent Over Row,trapezius,primary,85
Barbell Bent Over Row,biceps_brachii,secondary,50
Barbell Bent Over Row,forearms,secondary,45
Barbell Biceps Curl (with Arm Blaster),biceps_brachii,primary,90
Barbell Biceps Curl (with Arm Blaster),forearms,secondary,50
Barbell Clean And Press,quadriceps,primary,85
Barbell Clean And Press,hamstrings,secondary,45
Barbell Clean And Press,gluteus_maximus,secondary,55
Barbell Clean And Press,anterior_deltoid,secondary,50
Barbell Clean And Press,triceps_brachii,secondary,48
Barbell Clean-grip Front Squat,gluteus_maximus,primary,80
Barbell Clean-grip Front Squat,quadriceps,secondary,55
Barbell Clean-grip Front Squat,hamstrings,secondary,45
Barbell Clean-grip Front Squat,calves,secondary,40
Barbell Clean-grip Front Squat,rectus_abdominis,secondary,50
Barbell Close-grip Bench Press,triceps_brachii,primary,90
Barbell Close-grip Bench Press,pectoralis_major,secondary,45
Barbell Close-grip Bench Press,anterior_deltoid,secondary,45
Barbell Deadlift,gluteus_maximus,primary,90
Barbell Deadlift,hamstrings,secondary,45
Barbell Deadlift,erector_spinae,secondary,55
Barbell Decline Bench Press,pectoralis_major,primary,88
Barbell Decline Bench Press,triceps_brachii,secondary,55
Barbell Decline Bench Press,anterior_deltoid,secondary,52
Barbell Decline Bent Arm Pullover,latissimus_dorsi,primary,85
Barbell Decline Bent Arm Pullover,triceps_brachii,secondary,45
Barbell Decline Bent Arm Pullover,pectoralis_major,secondary,45
Barbell Decline Close Grip To Skull Press,triceps_brachii,primary,90
Barbell Decline Close Grip To Skull Press,pectoralis_major,secondary,45
Barbell Decline Close Grip To Skull Press,anterior_deltoid,secondary,40
Barbell Decline Pullover,pectoralis_major,primary,85
Barbell Decline Pullover,triceps_brachii,secondary,45
Barbell Decline Pullover,lateral_deltoid,secondary,35
Barbell Decline Wide-grip Press,pectoralis_major,primary,88
Barbell Decline Wide-grip Press,triceps_brachii,secondary,45
Barbell Decline Wide-grip Press,anterior_deltoid,secondary,55
Barbell Decline Wide-grip Pullover,latissimus_dorsi,primary,88
Barbell Decline Wide-grip Pullover,triceps_brachii,secondary,40
Barbell Decline Wide-grip Pullover,pectoralis_major,secondary,52
Barbell Drag Curl,biceps_brachii,primary,88
Barbell Drag Curl,forearms,secondary,52
Barbell Floor Calf Raise,calves,primary,85
Barbell Floor Calf Raise,hamstrings,secondary,40
Barbell Front Chest Squat,gluteus_maximus,primary,80
Barbell Front Chest Squat,quadriceps,secondary,55
Barbell Front Chest Squat,hamstrings,secondary,40
Barbell Front Chest Squat,calves,secondary,35
Barbell Front Chest Squat,rectus_abdominis,secondary,50
Barbell Front Raise,anterior_deltoid,primary,85
Barbell Front Raise,biceps_brachii,secondary,35
Barbell Front Raise,triceps_brachii,secondary,30
Barbell Front Raise And Pullover,pectoralis_major,primary,85
Barbell Front Raise And Pullover,anterior_deltoid,secondary,55
Barbell Front Raise And Pullover,triceps_brachii,secondary,40
Barbell Front Squat,gluteus_maximus,primary,80
Barbell Front Squat,quadriceps,secondary,55
Barbell Front Squat,hamstrings,secondary,40
Barbell Front Squat,calves,secondary,35
Barbell Front Squat,rectus_abdominis,secondary,50
Barbell Full Squat,gluteus_maximus,primary,85
Barbell Full Squat,quadriceps,secondary,55
Barbell Full Squat,hamstrings,secondary,45
Barbell Full Squat,calves,secondary,35
Barbell Full Squat,rectus_abdominis,secondary,40
Barbell Full Squat (back Pov),gluteus_maximus,primary,85
Barbell Full Squat (back Pov),quadriceps,secondary,55
Barbell Full Squat (back Pov),hamstrings,secondary,45
Barbell Full Squat (back Pov),calves,secondary,35
Barbell Full Squat (back Pov),rectus_abdominis,secondary,40
Barbell Full Squat (side Pov),gluteus_maximus,primary,90
Barbell Full Squat (side Pov),quadriceps,secondary,55
Barbell Full Squat (side Pov),hamstrings,secondary,45
Barbell Full Squat (side Pov),calves,secondary,35
Barbell Full Squat (side Pov),rectus_abdominis,secondary,40
Barbell Full Zercher Squat,gluteus_maximus,primary,90
Barbell Full Zercher Squat,quadriceps,secondary,55
Barbell Full Zercher Squat,hamstrings,secondary,50
Barbell Full Zercher Squat,calves,secondary,40
Barbell Full Zercher Squat,rectus_abdominis,secondary,55
Barbell Glute Bridge,gluteus_maximus,primary,92
Barbell Glute Bridge,hamstrings,secondary,50
Barbell Glute Bridge,erector_spinae,secondary,45
Barbell Glute Bridge Two Legs On Bench (male),gluteus_maximus,primary,95
Barbell Glute Bridge Two Legs On Bench (male),hamstrings,secondary,50
Barbell Glute Bridge Two Legs On Bench (male),rectus_abdominis,secondary,40
Barbell Good Morning,hamstrings,primary,85
Barbell Good Morning,erector_spinae,secondary,50
Barbell Guillotine Bench Press,pectoralis_major,primary,85
Barbell Guillotine Bench Press,anterior_deltoid,secondary,53
